timestamp,method,data_type,index,keys,matches,raw_data,detection_method
2025-08-20T15:41:44.489953,chain_getBlock,block_9247289,9247289,"['block', 'justifications']","[""Found 'fee' in block_9247289""]","{""block"": {""header"": {""parentHash"": ""0x758aefb4f1b1729920d304ef6c5699bc9d1ede1516e8b11c95ddb4cf7bc8d95e"", ""number"": ""0x8d1a39"", ""stateRoot"": ""0x997c1a97c635c450144c6525116a3f9b4e3efcb32a2f261e50fc2189d1812f31"", ""extrinsicsRoot"": ""0x8560fdd393633c4572bfb0d40b5f95f1609437347e1ce7556f1c1581ee639c09"", ""digest"": {""logs"": [""0x0661757261202e0d711100000000"", ""0x0561757261010144f24f30491a0bf33ea198465391451ae774a16fe69e1d0f763a0193cf0adc2e6c4f29e6174cd4e1c589b865e7544d75daba2cd1ed585d24e3c74337ed62a98f""]",block_analysis
2025-08-20T15:41:44.506857,chain_getBlock,block_9247290,9247290,"['block', 'justifications']","[""Found 'fee' in block_9247290""]","{""block"": {""header"": {""parentHash"": ""0xf502cf701ca1d0afc4e0f8e7b3c7a29da74e1b314d9be73733ea30e33fa6c378"", ""number"": ""0x8d1a3a"", ""stateRoot"": ""0xb0f36b661b5ab86a5b42f149b86360e7a2ec43db0beb0c23a4a21a5298729fb0"", ""extrinsicsRoot"": ""0xb167ba2c4a0b3af75634f2d58673a85b4292e33b46fae71cdefdbbb19fa071c2"", ""digest"": {""logs"": [""0x0661757261202f0d711100000000"", ""0x05617572610101c604dbf28b5a657b8abefa4ebf96392b94d4c01e88a93560e932acc43e5bbc47a0aa7b30593f767a82e94d04906a7e43bb8f78e4c646d8f6c3dc09861a85878b""]",block_analysis
2025-08-20T15:41:44.519787,chain_getBlock,block_9247291,9247291,"['block', 'justifications']","[""Found 'fee' in block_9247291""]","{""block"": {""header"": {""parentHash"": ""0x69b003dcc997ed6cf27547f270871ef0b729524eaa2a235ffd970795b521463d"", ""number"": ""0x8d1a3b"", ""stateRoot"": ""0xe220d5cf29fad413efc4d84935765114c622cc5472b8ddca2b4206ab1cc3904a"", ""extrinsicsRoot"": ""0xd8923c789d92a1520a280c11cfe5bd8373ffc72f8404a586c04963b9c34ee5e4"", ""digest"": {""logs"": [""0x066175726120300d711100000000"", ""0x05617572610101e63eef26fec995ff72c75a5aa385865881b6aa069253e530f8ab2612f3d5974bbb1d1e4c5f179f33d279c12b054d2d4c7426c9522e73efa65be8aa87ffbf6c84""]",block_analysis
2025-08-20T15:41:44.530077,chain_getBlock,block_9247292,9247292,"['block', 'justifications']","[""Found 'fee' in block_9247292""]","{""block"": {""header"": {""parentHash"": ""0x3cdbd3a778b0d39c0708a108465dab843c3cccce8532501e3c979a3381a0e96e"", ""number"": ""0x8d1a3c"", ""stateRoot"": ""0xfaaac20ab1879db4fc610bf160fe960343f8c73e3a7e8746f69b2613ef65c11f"", ""extrinsicsRoot"": ""0x1cf2837e4cadd526c8744dbb4bf1bd099d1fccdedee638f31f9482a4224f948e"", ""digest"": {""logs"": [""0x066175726120310d711100000000"", ""0x05617572610101c6cef5a267063ee78104e923b1ffca19384bf74ad1aef1d92e11e30f03879058b1eda26e196e8f5c8007450dbf15d088f68bf7247820c81dcbc817ff04ede987""]",block_analysis
